"19123","03","13","15","26","30","05","12"
"19122","05","19","25","31","33","10","11"
"19121","01","02","03","07","17","04","10"
"19120","06","15","17","22","25","01","09"
"19119","03","06","09","23","34","02","11"
"19118","02","03","13","19","26","02","03"
"19117","01","18","21","25","35","07","08"
"19116","02","10","16","21","23","02","12"
"19115","01","18","21","28","32","05","12"
"19114","03","05","07","20","23","04","11"
"19113","03","11","27","34","35","01","02"
"19112","03","10","16","21","33","05","06"
"19111","06","15","20","23","27","08","10"
"19110","01","19","23","24","30","04","05"
"19109","02","07","08","20","25","11","12"
"19108","24","27","28","31","34","04","08"
"19107","05","09","19","27","35","02","03"
"19106","05","08","10","32","35","02","10"
"19105","01","04","09","14","17","01","06"
"19104","02","07","19","22","28","03","05"
"19103","05","12","22","27","32","04","07"
"19102","05","10","15","19","31","03","06"
"19101","05","11","18","19","27","05","06"
"19100","05","08","12","19","21","06","11"
"19099","04","06","18","27","33","07","09"
"19098","13","15","17","19","22","03","04"
"19097","10","17","20","30","35","10","12"
"19096","02","12","22","23","27","02","06"
"19095","03","12","17","19","31","02","06"
"19094","01","12","14","26","27","07","09"
"19093","16","17","26","29","35","01","07"
"19092","02","11","15","27","30","02","05"
"19091","04","13","20","26","28","03","12"
"19090","13","19","28","30","33","02","12"
"19089","09","14","18","33","34","03","12"
"19088","01","05","18","27","33","06","08"
"19087","05","06","18","19","27","07","12"
"19086","05","15","16","28","31","02","07"
"19085","04","05","06","15","26","08","11"
"19084","12","23","25","34","35","01","07"
"19083","17","24","26","28","32","07","09"
"19082","06","18","20","21","31","03","04"
"19081","06","24","26","30","33","02","07"
"19080","05","13","18","19","24","02","07"
"19079","10","13","16","28","35","04","05"
"19078","05","10","21","26","30","01","07"
"19077","01","15","17","21","33","07","10"
"19076","01","06","11","23","29","01","11"
"19075","05","06","07","11","16","02","11"
"19074","08","09","13","14","34","05","07"
"19073","04","11","19","20","24","08","11"
"19072","02","04","06","09","18","07","10"
"19071","07","13","14","15","22","07","11"
"19070","02","13","15","22","34","02","12"
"19069","08","22","23","33","34","04","06"
"19068","04","05","08","17","27","06","11"
"19067","03","08","11","15","16","02","10"
"19066","04","10","11","18","31","05","08"
"19065","03","08","10","23","27","02","12"
"19064","07","08","13","19","29","11","12"
"19063","05","08","15","18","21","04","08"
"19062","05","16","23","25","28","01","12"
"19061","01","02","13","14","26","05","11"
"19060","01","11","12","18","21","08","10"
"19059","07","08","15","27","32","08","12"
"19058","03","10","13","14","32","07","11"
"19057","08","14","16","34","35","06","12"
"19056","01","07","10","12","23","06","08"
"19055","02","04","06","19","22","02","06"
"19054","02","18","23","27","30","05","10"
"19053","01","11","19","26","35","11","12"
"19052","04","10","15","20","24","07","11"
"19051","11","15","16","20","29","04","08"
"19050","04","15","16","20","35","03","12"
"19049","10","16","22","26","27","07","11"
"19048","06","10","16","29","33","05","11"
"19047","03","04","10","16","32","04","09"
"19046","02","08","14","15","35","10","12"
"19045","01","04","16","19","33","03","12"
"19044","03","06","10","12","31","01","02"
"19043","02","06","07","12","15","06","12"
"19042","04","10","13","28","33","11","12"
"19041","12","19","20","22","28","02","06"
"19040","01","03","31","32","34","01","03"
"19039","01","12","18","26","35","06","12"
"19038","05","11","16","18","27","07","12"
"19037","06","16","26","33","35","04","08"
"19036","03","09","21","28","30","01","12"
"19035","01","03","05","07","18","08","09"
"19034","08","12","15","27","30","01","02"
"19033","01","02","04","16","24","07","09"
"19032","01","04","07","11","30","07","08"
"19031","03","08","21","26","33","04","05"
"19030","07","09","13","14","33","02","04"
"19029","01","04","18","24","28","02","03"
"19028","06","22","28","29","33","02","07"
"19027","16","18","24","25","27","02","07"
"19026","10","12","15","17","19","02","03"
"19025","06","13","16","19","29","03","07"
"19024","11","17","19","29","33","08","09"
"19023","01","03","14","26","30","06","11"
"19022","01","04","14","15","21","01","05"
"19021","07","13","17","24","33","01","10"
"19020","01","08","16","27","34","03","12"
"19019","04","11","19","25","32","01","02"
"19018","03","18","19","26","34","06","12"
"19017","01","05","07","22","25","03","04"
"19016","03","05","13","16","28","02","06"
"19015","02","05","10","13","30","04","06"
"19014","12","14","20","28","31","09","11"
"19013","08","10","15","17","18","01","08"
"19012","05","09","17","18","19","07","10"
"19011","04","12","13","16","17","04","09"
"19010","03","07","24","25","27","02","12"
"19009","03","09","15","18","26","06","12"
"19008","03","08","17","20","24","06","11"
"19007","03","12","16","29","32","01","05"
"19006","14","17","19","25","30","04","08"
"19005","21","26","27","29","34","05","06"
"19004","15","16","17","31","32","03","09"
"19003","04","08","18","20","32","10","12"
"19002","02","07","14","22","31","01","07"
"19001","06","18","23","26","28","03","12"
"18154","14","22","23","26","30","03","05"
"18153","03","06","07","08","21","01","08"
"18152","02","04","05","12","28","08","11"
"18151","04","08","18","29","30","03","07"
"18150","05","12","13","31","34","10","12"
"18149","01","07","10","11","20","03","06"
"18148","02","06","24","33","34","02","03"
"18147","01","11","26","33","35","02","10"
"18146","03","08","09","13","33","01","02"
"18145","09","18","29","31","33","06","11"
"18144","06","17","18","24","31","07","11"
"18143","04","07","20","22","33","01","02"
"18142","19","24","28","29","34","10","11"
"18141","03","07","23","26","33","04","09"
"18140","01","06","08","12","15","03","04"
"18139","05","11","16","28","35","06","09"
"18138","01","23","24","28","33","04","05"
"18137","07","10","22","23","33","08","11"
"18136","03","11","12","19","21","05","11"
"18135","14","19","23","27","34","06","12"
"18134","04","05","19","31","35","02","12"
"18133","08","12","14","15","19","01","10"
"18132","03","16","22","23","27","01","04"
